Z,EPICS_SHELL,H0[mc]
82,44,110.7250873
83,1,1.188102098
83,3,4.234412351
83,5,2.055539941
83,6,2.343315621
83,8,9.29104059
83,10,5.426625351
83,11,5.919955064
83,13,3.809600616
83,14,3.919229422
83,16,18.91096776
83,18,11.86731709
83,19,12.86768022
83,21,9.633630545
83,22,9.866591539
83,24,8.071420252
83,25,8.181048806
83,27,43.02930341
83,29,28.36645141
83,30,31.24420623
83,32,28.50348779
83,33,29.32570275
83,41,130.8693791
83,43,97.70666721
83,44,114.013951
84,1,1.167546757
84,3,4.16589425
84,5,2.014429157
84,6,2.315908285
84,8,9.126597552
84,10,5.34440414
84,11,5.824029979
84,13,3.754786246
84,14,3.864415178
84,16,18.49985989
84,18,11.62065314
84,19,12.62101597
84,21,9.428077058
84,22,9.674741869
84,24,7.852162396
84,25,7.948087696
84,27,41.52190662
84,29,27.40720016
84,30,30.14792078
84,32,26.99609048
84,33,27.81830781
84,41,121.5509308
84,43,88.3882196
84,44,103.1881074
85,1,1.148361632
85,3,4.097376367
85,5,1.987022045
85,6,2.288501092
85,8,8.975858266
85,10,5.248478675
85,11,5.741808086
85,13,3.699972023
85,14,3.809600616
85,16,18.08875109
85,18,11.38769126
85,19,12.38805446
85,21,9.236225979
85,22,9.469187993
85,24,7.646608822
85,25,7.742534264
85,27,40.15154653
85,29,26.44794756
85,30,29.05163193
85,32,25.76276824
85,33,26.58498435
85,41,113.739879
85,43,81.26234746
85,44,94.82891168
86,1,1.127806232
86,3,4.028858392
86,5,1.945911215
86,6,2.261093981
86,8,8.825118746
86,10,5.152553713
86,11,5.659586643
86,13,3.645157441
86,14,3.754786246
86,16,17.81468039
86,18,11.15473039
86,19,12.15509299
86,21,9.05807983
86,22,9.29104059
86,24,7.441054393
86,25,7.536979902
86,27,38.91822533
86,29,25.62573086
86,30,28.09237981
86,32,24.52944318
86,33,25.35165866
86,41,107.1621511
86,43,75.50683548
86,44,88.25118366
87,1,1.108621286
87,3,3.96034031
87,5,1.918504082
87,6,2.219983267
87,8,8.688082494
87,10,5.070331795
87,11,5.577365088
87,13,3.590343062
87,14,3.699972023
87,16,17.40357175
87,18,10.93547245
87,19,11.93583546
87,21,8.879932524
87,22,9.112894224
87,24,7.2629077
87,25,7.358832985
87,27,37.68489904
87,29,24.80351702
87,30,27.27016257
87,32,23.57019189
87,33,24.25537296
87,41,97.84370302
87,43,67.9698557
87,44,78.24755542
87,58,363.1453976
88,1,1.09080653
88,3,3.905525941
88,5,1.877393274
88,6,2.19257589
88,8,8.537342343
88,10,4.988110388
88,11,5.495143809
88,13,3.535528731
88,14,3.645157441
88,16,17.1295006
88,18,10.71621547
88,19,11.73028147
88,21,8.701785708
88,22,8.93474723
88,24,7.084761135
88,25,7.180686263
88,27,36.45157467
88,29,23.98129996
88,30,26.31091201
88,32,22.61093996
88,33,23.29612082
88,41,90.03265144
88,43,62.48841555
88,44,71.25871934
88,58,300.1088368
89,1,1.071621539
89,3,3.837007855
89,5,1.849985976
89,6,2.16516887
89,8,8.400307047
89,10,4.905888696
89,11,5.412922002
89,13,3.480714394
89,14,3.590343062
89,16,16.71839246
89,18,10.51066082
89,19,11.52472766
89,21,8.537342343
89,22,8.770303903
89,24,6.920318249
89,25,7.016243482
89,27,35.35528755
89,29,23.15908301
89,30,25.62573086
89,32,21.65168885
89,33,22.33686736
89,41,84.55121102
89,43,58.78844361
89,44,66.32542371
89,58,272.7016385
90,1,1.053806828
90,3,3.768489878
90,5,1.822578868
90,6,2.13776151
90,8,8.26327054
90,10,4.82366715
90,11,5.34440414
90,13,3.42589982
90,14,3.549232413
90,16,16.44432049
90,18,10.30510763
90,19,11.31917351
90,21,8.372899651
90,22,8.60586079
90,24,6.755874741
90,25,6.851799773
90,27,34.39603714
90,29,22.47390275
90,30,24.80351702
90,32,20.82947099
90,33,21.51465129
90,41,80.1660596
90,43,55.91068788
90,44,62.48841555
90,58,254.8869589
91,1,1.035992141
91,3,3.713675394
91,5,1.781468026
91,6,2.110354322
91,8,8.126234526
91,10,4.741445554
91,11,5.262182467
91,13,3.384789297
91,14,3.49441807
91,16,16.17024716
91,18,10.11325721
91,19,11.12732348
91,21,8.222160083
91,22,8.45512155
91,24,6.605134878
91,25,6.701060238
91,27,33.57381872
91,29,22.06279616
91,30,24.25537296
91,32,20.41836331
91,33,20.96650697
91,35,28.36645141
91,36,28.36645141
91,41,79.48087911
91,43,54.95143572
91,44,62.89952351
91,58,264.4794775
92,1,1.018177494
92,3,3.658861225
92,5,1.754060802
92,6,2.082947084
92,8,8.00290226
92,10,4.659223756
92,11,5.193664193
92,13,3.329974873
92,14,3.453307123
92,16,15.75913912
92,18,9.921406131
92,19,10.93547245
92,21,8.071420252
92,22,8.304381427
92,24,6.468099069
92,25,6.564024189
92,27,32.61456796
92,29,21.51465129
92,30,23.70722747
92,32,19.87022059
92,33,20.41836331
92,35,26.44794756
92,36,26.44794756
92,41,77.42533931
92,43,53.44403964
92,44,61.66619935
92,58,261.7387577
93,1,1.000362824
93,3,3.590343062
93,5,1.726653528
93,6,2.055539941
93,8,7.879570193
93,10,4.577002273
93,11,5.125146235
93,13,3.288864138
93,14,3.398492865
93,16,15.48506728
93,18,9.729555954
93,19,10.75732544
93,21,7.934384303
93,22,8.167345585
93,24,6.331063037
93,25,6.42698838
93,27,31.9293886
93,29,20.96650697
